"Comparison_ID","US_ID","Gap_ID","Final_Gap_Label","Gap_Category","Base_Condition","Compared_Condition","Present_in_C0","Present_in_Compared","C0_Coverage","Compared_Coverage","Compared_Relevance","Behavior","Evidence"
"CMP001","US02","US02_G01","Facility details displayed in search results","Operational","C0","CL","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | Partial coverage was reviewed against the execution material."
"CMP002","US02","US02_G01","Facility details displayed in search results","Operational","C0","CO","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material."
"CMP003","US02","US02_G01","Facility details displayed in search results","Operational","C0","CD","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | Equivalent duplicate in the same Run_ID."
"CMP004","US02","US02_G01","Facility details displayed in search results","Operational","C0","CS","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | Partial coverage was reviewed against the execution material."
"CMP005","US02","US02_G01","Facility details displayed in search results","Operational","C0","CT","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | Emergent gap. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP006","US02","US02_G02","Accepted ZIP code format","Operational","C0","CL","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | The lexical definition of ZIP code does not cover valid input formats. | Partial coverage was reviewed against the execution material."
"CMP007","US02","US02_G02","Accepted ZIP code format","Operational","C0","CO","Yes","Yes","Unanswered","Partially answered","Necessary","Persistent","CTX CO: ""The ZIP code must be validated before the search is submitted."" (context provided in this run) | The validation rule is present, but the set of accepted formats is unspecified. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP008","US02","US02_G02","Accepted ZIP code format","Operational","C0","CD","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material. | Related reference answer exists but was not provided in this execution condition: US02_CO_01: ""The ZIP code must be validated before the search is submitted."" (reference sheet; not provided under CD)"
"CMP009","US02","US02_G02","Accepted ZIP code format","Operational","C0","CS","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material."
"CMP010","US02","US02_G02","Accepted ZIP code format","Operational","C0","CT","Yes","Yes","Unanswered","Partially answered","Necessary","Persistent","CTX CO (within CT): ""The ZIP code must be validated before the search is submitted."" | The stated validation rule implies a defined set of accepted formats, but the set itself is unspecified. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP011","US02","US02_G03","Source of facility records and status","Systemic","C0","CL","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material."
"CMP012","US02","US02_G03","Source of facility records and status","Systemic","C0","CO","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP013","US02","US02_G03","Source of facility records and status","Systemic","C0","CD","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP014","US02","US02_G03","Source of facility records and status","Systemic","C0","CS","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP015","US02","US02_G03","Source of facility records and status","Systemic","C0","CT","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP016","US02","US02_G04","Tie-breaking rule for equal-distance facilities","Decisional","C0","CL","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","CTX CL — ""A result list is an ordered collection of matching facilities, not a saved favorites list."" (context provided in this run) | The provided definition states that the list is ordered but gives no ordering or tie-breaking rule; see also REF US02_CO_03."
"CMP017","US02","US02_G04","Tie-breaking rule for equal-distance facilities","Operational","C0","CO","Yes","Yes","Unanswered","Partially answered","Necessary","Persistent","Results have previous ordering, but lack a tie-breaker criterion. | The quoted rule covers general ordering; the tie-breaking criterion is absent. | Partial coverage was reviewed against the execution material."
"CMP018","US02","US02_G04","Tie-breaking rule for equal-distance facilities","Operational","C0","CD","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | The reference defines the ordering rule; the tie-breaking criterion remains unspecified. | Equivalent duplicate in the same Run_ID. | Related reference answer exists but was not provided in this execution condition: US02_CO_03: ""Results are ordered by distance from the geographic center of the submitted ZIP code."" (reference sheet; not provided under CD)"
"CMP019","US02","US02_G04","Tie-breaking rule for equal-distance facilities","Decisional","C0","CS","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | CTX CS — ""The Search Service ranks the facilities and sends the result list to the web interface."" names the responsible component but not the ordering rule. | Related reference answer exists but was not provided in this execution condition: US02_CO_03: ""Results are ordered by distance from the geographic center of the submitted ZIP code."" (reference sheet; not provided under CS)"
"CMP020","US02","US02_G04","Tie-breaking rule for equal-distance facilities","Decisional","C0","CT","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","CTX CO (within CT): ""Results are ordered by distance from the geographic center of the submitted ZIP code."" | The quoted rule covers general ordering; the tie-breaking criterion is absent. | Equivalent duplicate in the same Run_ID."
"CMP021","US02","US02_G05","Geocoding failure user-facing outcome","Operational","C0","CD","No","Yes","N/A","Unanswered","Necessary","Emergent","Not found in the execution material. | Emergent gap. | Equivalent duplicate in the same Run_ID."
"CMP022","US02","US02_G06","Source of truth for facility active/verified status","Systemic","C0","CD","No","Yes","N/A","Unanswered","Necessary","Emergent","Not found in the execution material. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
