"Gap_ID","US_ID","Final_Gap_Label","Gap_Category","Conditions_Present"
"US02_G01","US02","Facility details displayed in search results","Operational","C0, CL, CO, CD, CS, CT"
"US02_G02","US02","Accepted ZIP code format","Operational","C0, CL, CO, CD, CS, CT"
"US02_G03","US02","Source of facility records and status","Systemic","C0, CL"
"US02_G04","US02","Tie-breaking rule for equal-distance facilities","Operational","C0, CL, CO, CD, CS, CT"
"US02_G05","US02","Geocoding failure user-facing outcome","Operational","CD"
"US02_G06","US02","Source of truth for facility active/verified status","Systemic","CD"
"US02_G07","US02","Geocoding/facility directory unavailable behavior","Operational","CL, CO, CS, CT"
"US02_G08","US02","Active versus verified facility status requirement","Decisional","CO"
"US02_G09","US02","Accepted material type filtering scope","Operational","CS"
"US02_G10","US02","ZIP code or search activity retention decision","Decisional","CT"
"US08_G01","US08","Required estimator set definition timing","Operational","C0, CO, CD, CS"
"US08_G02","US08","Disconnect-before-submit reveal trigger behavior","Operational","C0, CL, CS"
"US08_G03","US08","Visibility of revealed estimates to participant roles/reconnections","Operational","C0, CL, CS, CT"
"US08_G04","US08","Zero-estimate moderator closure behavior","Operational","C0, CL, CO, CD, CS, CT"
"US08_G05","US08","Disconnected submitter estimate reveal behavior","Operational","CL, CO, CD, CT"
"US08_G06","US08","Reconnected submitter completion status","Operational","CD"
"US08_G07","US08","Pre-reveal estimate modification rule","Operational","CD, CS"
"US08_G08","US08","Post-reveal estimate change handling","Operational","CL"
"US08_G09","US08","Required completion count timing when active set changes","Operational","CT"
"US08_G10","US08","Reveal broadcast failure behavior","Operational","CT"
"US19_G01","US19","Scope of waitlist feature workflows","Decisional","C0"
"US19_G02","US19","Waitlist eligibility definition","Lexical","C0, CO, CD"
"US19_G03","US19","Tie-breaking rule for simultaneous waitlist joins","Operational","C0, CL, CO, CD, CS, CT"
"US19_G04","US19","Duplicate waitlist entry handling","Operational","C0"
"US19_G05","US19","Available-place offer and next-step process","Operational","C0, CL, CO, CD, CS, CT"
"US19_G06","US19","Available-place offer notification channel","Operational","CD, CT"
"US19_G07","US19","Rejoin eligibility after coordinator removal","Operational","CD"
"US19_G08","US19","Reservation during offer acceptance window","Operational","CL"
"US19_G09","US19","Eligibility recheck timing","Operational","CL, CS, CT"
"US19_G10","US19","Coordinator removal record fields","Operational","CL, CO, CT"
"US19_G11","US19","Multiple concurrent waitlist participation","Decisional","CO"
"US19_G12","US19","Available-place notification failure behavior","Systemic","CS"
"US22_G01","US22","Minimum profile/history threshold for personalization","Lexical","C0, CL, CO, CD, CS, CT"
"US22_G02","US22","Content eligibility definition","Lexical","C0, CL, CO, CD, CS, CT"
"US22_G03","US22","Similarity ranking conflict/combination rule","Operational","C0, CL"
"US22_G04","US22","Popular content fallback rule","Operational","C0, CO, CD, CS, CT"
"US22_G05","US22","History-disabled declared-interest/history use decision","Decisional","C0"
"US22_G06","US22","History-disabled declared-interest use decision","Decisional","CO, CD, CS, CT"
"US22_G07","US22","Previously engaged content exclusion rule","Decisional","CD"
"US22_G08","US22","Eligible interaction history signals for similarity","Systemic","CL, CS"
"US22_G09","US22","No eligible recommendations user-visible state","Operational","CL, CT"
"US22_G10","US22","Tie-breaking for equally scored recommendations","Operational","CO"
