"Run_ID","US_ID","Condition","Question_ID","Question_Original","Source_File","Review_Status"
"US02_C0_R1","US02","C0","Q01","Which facility details must each search result display so the user can decide which facilities to consider? Answer in <=5 words.","runs/US02_C0_R1/output.md","Check"
"US02_C0_R1","US02","C0","Q02","What ZIP code formats are valid for search input? Answer in <=5 words.","runs/US02_C0_R1/output.md","Check"
"US02_C0_R1","US02","C0","Q03","What data source provides facility records and their active/verified status? Answer in <=5 words.","runs/US02_C0_R1/output.md","Check"
"US02_C0_R1","US02","C0","Q04","Should results include material types accepted by each facility? Answer: yes or no.","runs/US02_C0_R1/output.md","Check"
"US02_C0_R1","US02","C0","Q05","How should facilities at the same distance be ordered? Answer in <=5 words.","runs/US02_C0_R1/output.md","Check"
"US02_CD_R1","US02","CD","Q01","Should ZIP input accept only 5-digit U.S. ZIP codes, or also ZIP+4 format?","runs/US02_CD_R1/output.md","Check"
"US02_CD_R1","US02","CD","Q02","What facility details must appear in each result so users can decide which facilities to consider?","runs/US02_CD_R1/output.md","Check"
"US02_CD_R1","US02","CD","Q03","What should break ties when multiple facilities have the same calculated distance?","runs/US02_CD_R1/output.md","Check"
"US02_CD_R1","US02","CD","Q04","What user-facing outcome is required when a valid ZIP code cannot be geocoded?","runs/US02_CD_R1/output.md","Check"
"US02_CD_R1","US02","CD","Q05","What source of truth defines whether a facility is active and verified?","runs/US02_CD_R1/output.md","Check"
"US02_CD_R1","US02","CD","Q06","[NEEDS CLARIFICATION] Should ZIP input accept only 5-digit U.S. ZIP codes, or also ZIP+4 format?","runs/US02_CD_R1/output.md","Check"
"US02_CD_R1","US02","CD","Q07","[NEEDS CLARIFICATION] What facility details must appear in each result so users can decide which facilities to consider?","runs/US02_CD_R1/output.md","Check"
"US02_CD_R1","US02","CD","Q08","[NEEDS CLARIFICATION] What should break ties when multiple facilities have the same calculated distance?","runs/US02_CD_R1/output.md","Check"
"US02_CD_R1","US02","CD","Q09","[NEEDS CLARIFICATION] What user-facing outcome is required when a valid ZIP code cannot be geocoded?","runs/US02_CD_R1/output.md","Check"
"US02_CD_R1","US02","CD","Q10","[NEEDS CLARIFICATION] What source of truth defines whether a facility is active and verified?","runs/US02_CD_R1/output.md","Check"
"US02_CL_R1","US02","CL","Q01","What information must each facility result display? Options: A) name only, B) name + distance, C) name + address + distance, D) name + address + distance + contact details.","runs/US02_CL_R1/output.md","Check"
"US02_CL_R1","US02","CL","Q02","Which ZIP code formats are valid? Options: A) 5-digit US ZIP only, B) ZIP+4 accepted, C) both accepted but normalized to 5-digit.","runs/US02_CL_R1/output.md","Check"
"US02_CL_R1","US02","CL","Q03","What should determine ordering when multiple facilities have the same calculated distance? Answer in <=5 words.","runs/US02_CL_R1/output.md","Check"
"US02_CL_R1","US02","CL","Q04","What facility data source should searches use? Answer in <=5 words.","runs/US02_CL_R1/output.md","Check"
"US02_CL_R1","US02","CL","Q05","What should happen if the facility data source is unavailable during search? Options: A) show retryable error, B) show no results, C) use cached results, D) block search with maintenance message.","runs/US02_CL_R1/output.md","Check"
"US02_CO_R1","US02","CO","Q01","What facility details must appear in each search result so users can decide which facilities to consider? Answer in <=5 words.","runs/US02_CO_R1/output.md","Check"
"US02_CO_R1","US02","CO","Q02","Which ZIP code formats are valid: 5-digit only, ZIP+4, or both?","runs/US02_CO_R1/output.md","Check"
"US02_CO_R1","US02","CO","Q03","When multiple facilities have the same distance, how should ties be ordered? Answer in <=5 words.","runs/US02_CO_R1/output.md","Check"
"US02_CO_R1","US02","CO","Q04","What should happen if the facility directory or geocoding lookup is unavailable? Answer in <=5 words.","runs/US02_CO_R1/output.md","Check"
"US02_CO_R1","US02","CO","Q05","Does “active facilities” require only active status, or both active and verified status?","runs/US02_CO_R1/output.md","Check"
"US02_CO_R1","US02","CO","Q06","[NEEDS CLARIFICATION] Which ZIP code formats are valid: 5-digit only, ZIP+4, or both?","runs/US02_CO_R1/output.md","Check"
"US02_CO_R1","US02","CO","Q07","[NEEDS CLARIFICATION] Does “active facilities” require only active status, or both active and verified status?","runs/US02_CO_R1/output.md","Check"
"US02_CS_R1","US02","CS","Q01","What ZIP code formats must be accepted? Options: A) US 5-digit only B) US 5-digit and ZIP+4 C) Any postal code supported by geocoding service","runs/US02_CS_R1/output.md","Check"
"US02_CS_R1","US02","CS","Q02","What facility details must appear in each result so users can decide which facilities to consider? Answer in <=5 words.","runs/US02_CS_R1/output.md","Check"
"US02_CS_R1","US02","CS","Q03","If multiple facilities have the same calculated distance, how should they be ordered? Options: A) Alphabetically by facility name B) Most recently verified first C) Stable directory order","runs/US02_CS_R1/output.md","Check"
"US02_CS_R1","US02","CS","Q04","What should happen when the Geocoding Service or Facility Directory is unavailable? Options: A) Show temporary error, no results B) Show cached results if available C) Retry once, then error","runs/US02_CS_R1/output.md","Check"
"US02_CS_R1","US02","CS","Q05","Should the search include only general recycling facilities or filter by accepted material type? Options: A) General facilities only B) Require material-type filter C) Optional material-type filter","runs/US02_CS_R1/output.md","Check"
"US02_CT_R1","US02","CT","Q01","Which ZIP code formats must be accepted: 5-digit only, ZIP+4, or both?","runs/US02_CT_R1/output.md","Check"
"US02_CT_R1","US02","CT","Q02","What facility details must each search result display, such as name, address, distance, contact info, or accepted materials?","runs/US02_CT_R1/output.md","Check"
"US02_CT_R1","US02","CT","Q03","How should the system respond if the Geocoding Service or Facility Directory is unavailable?","runs/US02_CT_R1/output.md","Check"
"US02_CT_R1","US02","CT","Q04","How should facilities with the same calculated distance be ordered?","runs/US02_CT_R1/output.md","Check"
"US02_CT_R1","US02","CT","Q05","Should submitted ZIP codes or search activity be stored, and if so, for what purpose?","runs/US02_CT_R1/output.md","Check"
"US02_CT_R1","US02","CT","Q06","[NEEDS CLARIFICATION] Which ZIP code formats must be accepted: 5-digit only, ZIP+4, or both?","runs/US02_CT_R1/output.md","Check"
"US02_CT_R1","US02","CT","Q07","[NEEDS CLARIFICATION] What facility details must each search result display, such as name, address, distance, contact info, or accepted materials?","runs/US02_CT_R1/output.md","Check"
"US02_CT_R1","US02","CT","Q08","[NEEDS CLARIFICATION] How should the system respond if the Geocoding Service or Facility Directory is unavailable?","runs/US02_CT_R1/output.md","Check"
"US02_CT_R1","US02","CT","Q09","[NEEDS CLARIFICATION] How should facilities with the same calculated distance be ordered?","runs/US02_CT_R1/output.md","Check"
"US02_CT_R1","US02","CT","Q10","[NEEDS CLARIFICATION] Should submitted ZIP codes or search activity be stored, and if so, for what purpose?","runs/US02_CT_R1/output.md","Check"
"US08_C0_R1","US08","C0","Q01","When is the required estimator set fixed for a voting round: at round start, dynamically based on currently connected estimators, or only after each participant’s role is confirmed?","runs/US08_C0_R1/output.md","Check"
"US08_C0_R1","US08","C0","Q02","If an active estimator disconnects before submitting, should their absence immediately reduce the completion count and possibly trigger reveal?","runs/US08_C0_R1/output.md","Check"
"US08_C0_R1","US08","C0","Q03","Are spectators allowed to see revealed estimates once the reveal condition is met, or only active estimators and the moderator?","runs/US08_C0_R1/output.md","Check"
"US08_C0_R1","US08","C0","Q04","If the moderator closes voting when no estimates have been submitted, should the round enter a revealed/closed state with no estimates, or remain unrevealed?","runs/US08_C0_R1/output.md","Check"
"US08_C0_R1","US08","C0","Q05","After estimates are revealed, may late-joining or reconnected participants see the revealed estimates for that round?","runs/US08_C0_R1/output.md","Check"
"US08_C0_R1","US08","C0","Q06","[NEEDS CLARIFICATION] When is the required estimator set fixed for a voting round: at round start, dynamically based on currently connected estimators, or only after each participant’s role is confirmed?","runs/US08_C0_R1/output.md","Check"
"US08_C0_R1","US08","C0","Q07","[NEEDS CLARIFICATION] If an active estimator disconnects before submitting, should their absence immediately reduce the completion count and possibly trigger reveal?","runs/US08_C0_R1/output.md","Check"
"US08_C0_R1","US08","C0","Q08","[NEEDS CLARIFICATION] Are spectators allowed to see revealed estimates once the reveal condition is met, or only active estimators and the moderator?","runs/US08_C0_R1/output.md","Check"
"US08_C0_R1","US08","C0","Q09","[NEEDS CLARIFICATION] If the moderator closes voting when no estimates have been submitted, should the round enter a revealed/closed state with no estimates, or remain unrevealed?","runs/US08_C0_R1/output.md","Check"
"US08_C0_R1","US08","C0","Q10","[NEEDS CLARIFICATION] After estimates are revealed, may late-joining or reconnected participants see the revealed estimates for that round?","runs/US08_C0_R1/output.md","Check"
"US08_CD_R1","US08","CD","Q01","When is the set of “active estimators” determined for a voting round: at round start, dynamically from currently connected eligible participants, or another rule?","runs/US08_CD_R1/output.md","Check"
"US08_CD_R1","US08","CD","Q02","If an active estimator disconnects after submitting but before reveal, should their submitted estimate still be revealed?","runs/US08_CD_R1/output.md","Check"
"US08_CD_R1","US08","CD","Q03","If an estimator submits, disconnects, and later reconnects before reveal, should they count as submitted for completion?","runs/US08_CD_R1/output.md","Check"
"US08_CD_R1","US08","CD","Q04","Before reveal, may an estimator change or replace their hidden estimate, or is the first submission final?","runs/US08_CD_R1/output.md","Check"
"US08_CD_R1","US08","CD","Q05","When the moderator closes voting with no submitted estimates, should the round reveal an empty result, remain unrevealed, or enter a cancelled/closed state?","runs/US08_CD_R1/output.md","Check"
"US08_CD_R1","US08","CD","Q06","[NEEDS CLARIFICATION] When is the set of “active estimators” determined for a voting round: at round start, dynamically from currently connected eligible participants, or another rule?","runs/US08_CD_R1/output.md","Check"
"US08_CD_R1","US08","CD","Q07","[NEEDS CLARIFICATION] If an active estimator disconnects after submitting but before reveal, should their submitted estimate still be revealed?","runs/US08_CD_R1/output.md","Check"
"US08_CD_R1","US08","CD","Q08","[NEEDS CLARIFICATION] If an estimator submits, disconnects, and later reconnects before reveal, should they count as submitted for completion?","runs/US08_CD_R1/output.md","Check"
"US08_CD_R1","US08","CD","Q09","[NEEDS CLARIFICATION] Before reveal, may an estimator change or replace their hidden estimate, or is the first submission final?","runs/US08_CD_R1/output.md","Check"
"US08_CD_R1","US08","CD","Q10","[NEEDS CLARIFICATION] When the moderator closes voting with no submitted estimates, should the round reveal an empty result, remain unrevealed, or enter a cancelled/closed state?","runs/US08_CD_R1/output.md","Check"
"US08_CL_R1","US08","CL","Q01","If an active estimator disconnects after submitting but before reveal, should their submitted estimate still be revealed? Answer in <=5 words.","runs/US08_CL_R1/output.md","Check"
"US08_CL_R1","US08","CL","Q02","When an active estimator disconnects before submitting, should the system immediately exclude them and reveal if remaining active estimators are complete, or wait for moderator closure? Answer in <=5 words.","runs/US08_CL_R1/output.md","Check"
