"gap_ref_ID","US_ID","Context category","Condition","projected gap","Reference answer","textual evidence","Expected need"
"US01_CL_01","US01","Léxica","CL","Definition of anonymous user","a visitor who has not authenticated or created an account","An anonymous user is a visitor who has not authenticated or created an account.","Necessária/bloqueante"
"US01_CL_02","US01","Léxica","CL","Composition of Public information","a facility's name, address, opening hours, contact channel, and accepted material categories","Public information consists of a facility's name, address, opening hours, contact channel, and accepted material categories.","Necessária/bloqueante"
"US01_CL_03","US01","Léxica","CL","Definition of recycling center","a registered facility that receives recyclable materials from the public","A recycling center is a registered facility that receives recyclable materials from the public.","Necessária/bloqueante"
"US01_CO_01","US01","Operacional","CO","Authorization rule for Anonymous visitors","Anonymous visitors may search by ZIP code or by a location supplied for the current search","Anonymous visitors may search by ZIP code or by a location supplied for the current search.","Necessária/bloqueante"
"US01_CO_02","US01","Operacional","CO","Eligibility rule for Only active facilities and fields classified as public","Only active facilities and fields classified as public may appear in the results","Only active facilities and fields classified as public may appear in the results.","Necessária/bloqueante"
"US01_CO_03","US01","Operacional","CO","Restriction applicable to Account-dependent actions, such as saving favorites or receiving personalized alerts","Account-dependent actions, such as saving favorites or receiving personalized alerts, are unavailable to anonymous visitors","Account-dependent actions, such as saving favorites or receiving personalized alerts, are unavailable to anonymous visitors.","Necessária/bloqueante"
"US01_CD_01","US01","Decisória","CD","Rationale for selecting Anonymous access","Anonymous access was selected to reduce friction before account creation","Anonymous access was selected to reduce friction before account creation.","Útil/não bloqueante"
"US01_CD_02","US01","Decisória","CD","Prior decision or rationale concerning Personal contact names","Personal contact names, internal notes, and verification documents must not be exposed publicly","Personal contact names, internal notes, and verification documents must not be exposed publicly.","Útil/não bloqueante"
"US01_CD_03","US01","Decisória","CD","Prior decision or rationale concerning Search activity from anonymous sessions will not be retained after the session ends","Search activity from anonymous sessions will not be retained after the session ends","Search activity from anonymous sessions will not be retained after the session ends.","Útil/não bloqueante"
"US01_CS_01","US01","Sistêmica","CS","Dependency used by The public search page to obtain facility data from the Facility Directory Service","The public search page requests facility data from the Facility Directory Service","The public search page requests facility data from the Facility Directory Service.","Necessária/bloqueante"
"US01_CS_02","US01","Sistêmica","CS","Component responsible for processing the submitted location into coordinates","The Location Resolution Service converts the submitted location into coordinates","The Location Resolution Service converts the submitted location into coordinates.","Necessária/bloqueante"
