"Classification_ID","Run_ID","US_ID","Condition","Question_ID","Segment_ID","Question_Original","Final_Gap_Label","Gap_ID","Duplicate_Group","Primary_Question","J1_Category","J2_Category","J3_Category","J1_Coverage","J2_Coverage","J3_Coverage","J1_Relevance","J2_Relevance","J3_Relevance","Final_Category","Final_Coverage","Final_Relevance","Final_Evidence","Final_Observation"
"CLS0001","US02_C0_R1","US02","C0","Q01","S01","Which facility details must each search result display so the user can decide which facilities to consider?","Facility details displayed in search results","US02_G01","","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","the reference material also leaves the result fields unspecified."
"CLS0002","US02_C0_R1","US02","C0","Q02","S01","What ZIP code formats are valid for search input?","Accepted ZIP code format","US02_G02","","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.",""
"CLS0003","US02_C0_R1","US02","C0","Q03","S01","What data source provides facility records and their active/verified status?","Source of facility records and status","US02_G03","","Yes","Systemic","Systemic","Systemic","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Systemic","Unanswered","Necessary","Not found in the execution material.",""
"CLS0004","US02_C0_R1","US02","C0","Q04","S01","Should results include material types accepted by each facility? Answer: yes or no.","Facility details displayed in search results","US02_G01","","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Useful","Useful","Operational","Unanswered","Useful","ABSENT. The user story does not specify whether accepted material types are part of the result content.","Refinement of the result-content gap (see row 2); does not block implementation."
"CLS0005","US02_C0_R1","US02","C0","Q05","S01","How should facilities at the same distance be ordered?","Tie-breaking rule for equal-distance facilities","US02_G04","","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Useful","Operational","Unanswered","Necessary","Not found in the execution material.","The reference defines the general ordering rule; the tie-breaking criterion remains unspecified. | Related reference answer exists but was not provided in this execution condition: US02_CO_03: ""Results are ordered by distance from the geographic center of the submitted ZIP code."" (reference sheet; not provided under C0)"
"CLS0006","US02_CD_R1","US02","CD","Q01","S01","Should ZIP input accept only 5-digit U.S. ZIP codes, or also ZIP+4 format?","Accepted ZIP code format","US02_G02","DUP001","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material. | Related reference answer exists but was not provided in this execution condition: US02_CO_01: ""The ZIP code must be validated before the search is submitted."" (reference sheet; not provided under CD)"
"CLS0007","US02_CD_R1","US02","CD","Q02","S01","What facility details must appear in each result so users can decide which facilities to consider?","Facility details displayed in search results","US02_G01","DUP002","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Equivalent duplicate in the same Run_ID."
"CLS0008","US02_CD_R1","US02","CD","Q03","S01","What should break ties when multiple facilities have the same calculated distance?","Tie-breaking rule for equal-distance facilities","US02_G04","DUP003","Yes","Decisional","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Useful","Operational","Unanswered","Necessary","Not found in the execution material.","The reference defines the ordering rule; the tie-breaking criterion remains unspecified. | Equivalent duplicate in the same Run_ID. | Related reference answer exists but was not provided in this execution condition: US02_CO_03: ""Results are ordered by distance from the geographic center of the submitted ZIP code."" (reference sheet; not provided under CD)"
"CLS0009","US02_CD_R1","US02","CD","Q04","S01","What user-facing outcome is required when a valid ZIP code cannot be geocoded?","Geocoding failure user-facing outcome","US02_G05","DUP004","Yes","Operational","Operational","Operational","Unanswered","Unanswered","Unanswered","Necessary","Necessary","Necessary","Operational","Unanswered","Necessary","Not found in the execution material.","Emergent gap. | Equivalent duplicate in the same Run_ID."
"CLS0010","US02_CD_R1","US02","CD","Q05","S01","What source of truth defines whether a facility is active and verified?","Source of truth for facility active/verified status","US02_G06","DUP005","Yes","Systemic","Systemic","Systemic","Unanswered","Unanswered","Partially answered","Necessary","Necessary","Necessary","Systemic","Unanswered","Necessary","Not found in the execution material.","Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
